Band Name - Unclean,Venue - Unclean,Concert Date,Openers
Reggaeton Latin Party with Music by Sisko ( 21+ ),Big Night Live,01/06/2024,
Story Of The Year: 20 Years Of Page Avenue,House of Blues,01/12/2024,"We the Kings, Youth Fountain"
Andrew Schulz: The Life Tour,MGM Music Hall,01/12/2024,
Reggae Fest ( 21+ ),Big Night Live,01/12/2024,
Andrew Schulz: The Life Tour,MGM Music Hall,01/13/2024,
Motion City Soundtrack - I AM THE MOVIE 20TH ANNIVERSARY TOUR (18+),Paradise Rock Club,01/13/2024,Gully Boys
ARMNHMR ( 21+ ),Big Night Live,01/13/2024,
Heritage (21+),Brighton Music Hall,01/13/2024,
Dancehall Reggae Project: Trapped in the 90's (21+),Brighton Music Hall,01/14/2024,
The Pink Floyd Laser Spectacular,Big Night Live,01/18/2024,
Conner Smith (18+),Paradise Rock Club,01/18/2024,Lauren Watkins
The Taylor Party: The TS Dance Party (+18),Big Night Live,01/19/2024,
Magic City Hippies - Winter Tour,House of Blues,01/19/2024,"The Palms, Josh Fudge"
O Positive: With A Little Help From My Friends Benefit Concert (18+),Paradise Rock Club,01/19/2024,Three Colors
Oliver Tree Presents Alone In A Crowd,MGM Music Hall,01/19/2024,"FIDLAR, Jasiah"
Steve Rondo (18+),Brighton Music Hall,01/20/2024,"Sneaky Miles, Samantha McKaige"
The Elovaters - Endless Summer Tour With Shwayze And Surfer Girl,House of Blues,01/20/2024,"Shwayze, Surfer Girl, Green Lion Crew"
Juice,Paradise Rock Club,01/20/2024,The Hails
Grace Potter,MGM Music Hall,01/20/2024,Brittney Spencer
Dombresky presents Lift Off ( 21+ ),Big Night Live,01/20/2024,
Causeway Card Show,Big Night Live,01/21/2024,
Beartooth: 2024 North American Tour,House of Blues,01/21/2024,"The Plot In You, Invent, Animate, Sleep Theory"
PLVTINUM,Brighton Music Hall,01/21/2024,"Chris Grey, Shaker"
"Rad Museum, Miso, Tabber 'you.will.knovv' North America Tour",Paradise Rock Club,01/23/2024,"Miso, Tabber"
Mick Jenkins -Thank You for Waiting Tour,Paradise Rock Club,01/24/2024,TOBi
The Bones of J.R. Jones,Brighton Music Hall,01/24/2024,Billy Keane
Call Of Duty League Major 1 - Boston Breach (17+),MGM Music Hall,01/25/2024,
"Hush Club, Winkler, and Little Fuss",Brighton Music Hall,01/25/2024,"Winkler, Little Fuss"
Armin van Buuren ( 21+ ),Big Night Live,01/25/2024,
Call Of Duty League Major 1 - Boston Breach (17+),MGM Music Hall,01/26/2024,
The Milk Carton Kids,Paradise Rock Club,01/26/2024,Alix Page
Emo Night Brooklyn (18+),Brighton Music Hall,01/26/2024,
Gasolina Reggaeton Party ( 21+ ),Big Night Live,01/26/2024,
Call Of Duty League Major 1 - Boston Breach (17+),MGM Music Hall,01/27/2024,
Hooligan Holiday (18+),Paradise Rock Club,01/27/2024,"The Templars, Battle Ruins, Merauder, Violent Way, Powerhouse"
Bent x Ice Cold ENT Ice Age Vibes by DJ Storm (18+),Brighton Music Hall,01/27/2024,
Snakehips: New Years Resolution Tour ( 21+ ),Big Night Live,01/27/2024,
Call Of Duty League Major 1 - Boston Breach (17+),MGM Music Hall,01/28/2024,
Meet Me @ The Altar: Say It To My Face Tour,Paradise Rock Club,01/28/2024,"Honey Revenge, John Harvie, Elliot Lee"
Lyn Lapid - to love in the 21st century tour: the epilogue tour,Brighton Music Hall,01/31/2024,Ashley Mehta
K-Pop Mixtape (18+),Brighton Music Hall,02/01/2024,
Dillon Francis ( 21+ ),Big Night Live,02/01/2024,
Lucius - Wildewoman: The Anniversary Tour,House of Blues,02/02/2024,Jeff Taylor
Caligulas Horse,Brighton Music Hall,02/02/2024,Earthside
Briston Maroney: Ultrapure Tour,Paradise Rock Club,02/02/2024,Phoebe Go
Greensky Bluegrass,MGM Music Hall,02/02/2024,Melt
Shrek Rave ( 18+ ),Big Night Live,02/02/2024,
Club 90s Presents: Justin Bieber Night,Big Night Live,02/03/2024,
MIGHTY MYSTIC Winter Reggae Splash (18+),Brighton Music Hall,02/03/2024,"Nomad-I, Different Strokez"
Briston Maroney: Ultrapure Tour,Paradise Rock Club,02/03/2024,Phoebe Go
Cash Cash ( 21+ ),Big Night Live,02/03/2024,
Boston Country Music Festival: Zeze Di Camargo,House of Blues,02/04/2024,"Murilo Huff, Clayton E Romario"
Boston Country Music Festival: Zeze Di Camargo (MOVED TO HOB),MGM Music Hall,02/04/2024,"Murilo Huff, Clayton E Romario"
Christopher,Brighton Music Hall,02/06/2024,
Ali Gatie -  All the Things I Wish I Said Tour,Paradise Rock Club,02/07/2024,
Machine Head (18+),Paradise Rock Club,02/08/2024,"Fear Factory, Orbit Culture, Gates to Hell"
Peezy,Brighton Music Hall,02/08/2024,
Boyz II Men,MGM Music Hall,02/09/2024,
BoomBox (18+),Brighton Music Hall,02/09/2024,Tep No
Be Our Guest: The Disney DJ Night (18+),Paradise Rock Club,02/09/2024,
Eric Prydz ( 21+ ),Big Night Live,02/09/2024,
Bumpin Uglies (18+),Paradise Rock Club,02/10/2024,"Organically Good Trio, Over the Bridge"
Cody Jinks & Turnpike Troubadours,MGM Music Hall,02/10/2024,"Turnpike Troubadours, Calder Allen"
KREAM - Winter Tour 2024 ( 21+ ),Big Night Live,02/10/2024,
Gee Smuney & McKonpa present Bon Dimanche : Je T'aime ( 21+ ),Big Night Live,02/11/2024,
GO AHEAD AND DIE: Unhealthy Mechanisms Tour 2024,Brighton Music Hall,02/13/2024,"Bodybox, Half Heard Voices"
Feathers and Frills: A Risqué Romance in Boston (18+),House of Blues,02/14/2024,
Squid (18+),Paradise Rock Club,02/14/2024,Water From Your Eyes
berlioz North America Tour 2024,Brighton Music Hall,02/14/2024,
Ericdoa - Dead On Arrival Tour,Paradise Rock Club,02/15/2024,bixby
Mitski,MGM Music Hall,02/15/2024,Tamino
Flatland Cavalry,House of Blues,02/16/2024,Kaitlin Butts
Josh Ritter & the Royal City Band-Hello Starling 20th Anniversary Tour,Paradise Rock Club,02/16/2024,
Mitski,MGM Music Hall,02/16/2024,Tamino
AC Slater - Night Bass - Ten Year Tour 2024 ( 21+ ),Big Night Live,02/16/2024,
Josh Ritter & the Royal City Band-Hello Starling 20th Anniversary Tour,Paradise Rock Club,02/17/2024,
Mitski,MGM Music Hall,02/17/2024,Tamino
Municipal Waste Brainsqueeze Tour (18+),Paradise Rock Club,02/18/2024,"Ghoul, Necrot, Dead Heat"
President's Day Weekend DJ 4EIGN Presents... Afro Drift (18+),Brighton Music Hall,02/18/2024,
Mitski,MGM Music Hall,02/18/2024,Tamino
+++ (Crosses) - Familiar World Tour,House of Blues,02/19/2024,
Thursday: War All The Time Live (18+),Paradise Rock Club,02/21/2024,"Rival Schools, Many Eyes"
Ekkstacy,Brighton Music Hall,02/21/2024,ALEXSUCKS
Evan Honer North America 2024 IDK SH*T ABOUT TOURS,Brighton Music Hall,02/22/2024,Jesse Woods
TKay Maidza: Sweet Justice North American Tour,Brighton Music Hall,02/23/2024,
Eric Bellinger,Paradise Rock Club,02/23/2024,Zae France
Timmy Trumpet's Freakshow ( 21+ ),Big Night Live,02/23/2024,Costa
Enanitos Verdes,Big Night Live,02/24/2024,
Tyler Booth,Brighton Music Hall,02/24/2024,
Murda,Paradise Rock Club,02/24/2024,
Chelsea Cutler - The Beauty Is Everywhere Tour,MGM Music Hall,02/24/2024,Yoke Lore
KSHMR: North American Club Tour 2024 ( 21+ ) ,Big Night Live,02/24/2024,
Code Orange,Paradise Rock Club,02/25/2024,"Gel, Teenage Wrist, Soul Blind, Gridiron"
Yonder Mountain String Band,Big Night Live,02/25/2024,
Jane Remover & quannnic,Brighton Music Hall,02/25/2024,quannnic
