Band Name - Unclean,Venue - Unclean,Concert Date,Openers
A Ray of Elvis - Birthday Bash Brunch,City Winery - Boston,01/07/2024,
Bassem Youssef,Wilbur Theatre - MA,01/07/2024,
Chante Moore,City Winery - Boston,01/07/2024,
Bassem Youssef,Wilbur Theatre - MA,01/07/2024,
Robert Glasper,City Winery - Boston,01/08/2024,
Madonna,TD Garden,01/08/2024,
Robert Glasper,City Winery - Boston,01/08/2024,
Robert Glasper,City Winery - Boston,01/09/2024,
All You Need Is Love: A Beatles Tribute Concert,Wilbur Theatre - MA,01/09/2024,
Madonna,TD Garden,01/09/2024,
Robert Glasper,City Winery - Boston,01/09/2024,
Robert Glasper,City Winery - Boston,01/10/2024,
Robert Glasper,City Winery - Boston,01/10/2024,
"Boston Symphony Orchestra: Andris Nelsons & Seong-Jin Cho - Leon, Ravel & Stravinsky",Boston Symphony Hall,01/11/2024,
"Boston Symphony Orchestra: Andris Nelsons & Seong-Jin Cho - Leon, Ravel & Stravinsky",Boston Symphony Hall,01/11/2024,
Purple Madness - Prince Tribute,City Winery - Boston,01/11/2024,
"Pillows and Beers, Craig Conover & Austen Kroll",Wilbur Theatre - MA,01/11/2024,
SNAX,the Grand,01/11/2024,
"Boston Symphony Orchestra: Andris Nelsons & Seong-Jin Cho - Leon, Ravel & Stravinsky",Boston Symphony Hall,01/12/2024,
Andrew Schulz,MGM Music Hall,01/12/2024,
BCMFest: Boston Urban Ceilidh,the Crystal Ballroom,01/12/2024,
Comedy and Cabernet,Haymarket Lounge At City Winery - Boston,01/12/2024,
"Story of the Year, We The Kings & Youth Fountain",the House of Blues,01/12/2024,
Che Durena,Wilbur Theatre - MA,01/12/2024,
Alex Dragicevich,Nick's Comedy Stop,01/12/2024,
Travis Scott,TD Garden,01/12/2024,
Reggae Fest,Big Night Live,01/12/2024,
DJ Spade,the Grand,01/12/2024,
Zay Wilson,Memoire Boston At Encore Boston Harbor,01/12/2024,
Motion City Soundtrack,Paradise Rock Club,01/13/2024,
Andrew Schulz,MGM Music Hall,01/13/2024,
Jim Jefferies,Wang Theater At The Boch Center,01/13/2024,
Vir Das,Wilbur Theatre - MA,01/13/2024,
